,NAME,STABREV,number_uninsured,percent_uninsured,RACECAT,race_category,time,state,highlight
657,Hawaii,HI,94510,8.1,0,All Races,2011,15,0
661,Idaho,ID,255479,18.9,0,All Races,2011,16,0
665,Illinois,IL,1627886,14.8,0,All Races,2011,17,0
669,Indiana,IN,911674,16.6,0,All Races,2011,18,0
673,Iowa,IA,263528,10.4,0,All Races,2011,19,0
677,Kansas,KS,348974,14.4,0,All Races,2011,20,0
681,Kentucky,KY,621065,16.9,0,All Races,2011,21,0
685,Louisiana,LA,783015,20.1,0,All Races,2011,22,0
689,Maine,ME,139781,12.9,0,All Races,2011,23,0
693,Maryland,MD,595770,12.0,0,All Races,2011,24,0
697,Massachusetts,MA,267661,4.9,0,All Races,2011,25,2
701,Michigan,MI,1130594,13.6,0,All Races,2011,26,0
705,Minnesota,MN,462930,10.2,0,All Races,2011,27,0
709,Mississippi,MS,516526,20.6,0,All Races,2011,28,0
713,Missouri,MO,801665,16.0,0,All Races,2011,29,0
717,Montana,MT,178926,21.6,0,All Races,2011,30,0
721,Nebraska,NE,205574,13.3,0,All Races,2011,31,0
725,Nevada,NV,560498,23.8,0,All Races,2011,32,0
729,New Hampshire,NH,137349,12.5,0,All Races,2011,33,0
733,New Jersey,NJ,1114220,14.9,0,All Races,2011,34,0
737,New Mexico,NM,405848,23.0,0,All Races,2011,35,1
741,New York,NY,2155975,13.2,0,All Races,2011,36,0
745,North Carolina,NC,1528388,18.7,0,All Races,2011,37,0
749,North Dakota,ND,65997,11.6,0,All Races,2011,38,0
753,Ohio,OH,1338208,13.9,0,All Races,2011,39,0
757,Oklahoma,OK,695537,21.8,0,All Races,2011,40,0
761,Oregon,OR,589681,18.1,0,All Races,2011,41,0
765,Pennsylvania,PA,1249474,12.0,0,All Races,2011,42,0
769,Rhode Island,RI,110145,12.8,0,All Races,2011,44,0
773,South Carolina,SC,755487,19.4,0,All Races,2011,45,0
777,South Dakota,SD,94966,13.9,0,All Races,2011,46,0
781,Tennessee,TN,918356,17.0,0,All Races,2011,47,0
785,Texas,TX,5771479,25.7,0,All Races,2011,48,0
789,Utah,UT,417274,16.6,0,All Races,2011,49,0
793,Vermont,VT,40681,8.0,0,All Races,2011,50,0
797,Virginia,VA,979509,14.3,0,All Races,2011,51,0
801,Washington,WA,937962,16.0,0,All Races,2011,53,0
805,West Virginia,WV,272782,18.1,0,All Races,2011,54,0
809,Wisconsin,WI,494532,10.3,0,All Races,2011,55,0
813,Wyoming,WY,84035,17.3,0,All Races,2011,56,0
817,Alabama,AL,633845,15.8,0,All Races,2012,01,0
821,Alaska,AK,146928,22.3,0,All Races,2012,02,0
825,Arizona,AZ,1111138,20.4,0,All Races,2012,04,0
829,Arkansas,AR,471902,19.4,0,All Races,2012,05,0
833,California,CA,6580078,20.0,0,All Races,2012,06,0
837,Colorado,CO,744887,16.7,0,All Races,2012,08,0
841,Connecticut,CT,313293,10.5,0,All Races,2012,09,0
845,Delaware,DE,77920,10.3,0,All Races,2012,10,0
849,District of Columbia,DC,36824,7.0,0,All Races,2012,11,0
853,Florida,FL,3724873,24.1,0,All Races,2012,12,0
857,Georgia,GA,1767578,20.7,0,All Races,2012,13,0
861,Hawaii,HI,90741,7.8,0,All Races,2012,15,0
865,Idaho,ID,250246,18.5,0,All Races,2012,16,0
869,Illinois,IL,1593191,14.6,0,All Races,2012,17,0
873,Indiana,IN,911449,16.6,0,All Races,2012,18,0
877,Iowa,IA,249896,9.9,0,All Races,2012,19,0
881,Kansas,KS,348613,14.4,0,All Races,2012,20,0
885,Kentucky,KY,593832,16.2,0,All Races,2012,21,0
889,Louisiana,LA,755908,19.4,0,All Races,2012,22,0
893,Maine,ME,133087,12.4,0,All Races,2012,23,0
897,Maryland,MD,587764,11.8,0,All Races,2012,24,0
901,Massachusetts,MA,246614,4.5,0,All Races,2012,25,2
905,Michigan,MI,1103508,13.4,0,All Races,2012,26,0
909,Minnesota,MN,419196,9.2,0,All Races,2012,27,0
913,Mississippi,MS,491937,19.7,0,All Races,2012,28,0
917,Missouri,MO,790984,15.8,0,All Races,2012,29,0
921,Montana,MT,178730,21.6,0,All Races,2012,30,0
925,Nebraska,NE,200265,12.9,0,All Races,2012,31,0
929,Nevada,NV,580575,24.5,0,All Races,2012,32,0
933,New Hampshire,NH,138091,12.6,0,All Races,2012,33,0
937,New Jersey,NJ,1089994,14.6,0,All Races,2012,34,0
941,New Mexico,NM,378252,21.5,0,All Races,2012,35,1
945,New York,NY,2073007,12.6,0,All Races,2012,36,0
949,North Carolina,NC,1556925,19.0,0,All Races,2012,37,0
953,North Dakota,ND,70025,12.0,0,All Races,2012,38,0
957,Ohio,OH,1294898,13.5,0,All Races,2012,39,0
961,Oklahoma,OK,684288,21.4,0,All Races,2012,40,0
965,Oregon,OR,566354,17.4,0,All Races,2012,41,0
969,Pennsylvania,PA,1210961,11.7,0,All Races,2012,42,0
973,Rhode Island,RI,110225,12.8,0,All Races,2012,44,0
977,South Carolina,SC,770336,19.8,0,All Races,2012,45,0
981,South Dakota,SD,94071,13.6,0,All Races,2012,46,0
985,Tennessee,TN,875361,16.2,0,All Races,2012,47,0
989,Texas,TX,5712298,25.2,0,All Races,2012,48,0
993,Utah,UT,398299,15.7,0,All Races,2012,49,0
997,Vermont,VT,39972,7.9,0,All Races,2012,50,0
1001,Virginia,VA,981173,14.2,0,All Races,2012,51,0
1005,Washington,WA,933183,15.8,0,All Races,2012,53,0
1009,West Virginia,WV,264082,17.6,0,All Races,2012,54,0
1013,Wisconsin,WI,498050,10.4,0,All Races,2012,55,0
1017,Wyoming,WY,84401,17.3,0,All Races,2012,56,0
1021,Alabama,AL,637841,15.9,0,All Races,2013,01,0
1025,Alaska,AK,135757,20.8,0,All Races,2013,02,0
1029,Arizona,AZ,1092617,20.0,0,All Races,2013,04,0
1033,Arkansas,AR,458780,18.8,0,All Races,2013,05,0
1037,California,CA,6368296,19.4,0,All Races,2013,06,0
1041,Colorado,CO,722130,16.0,0,All Races,2013,08,0
1045,Connecticut,CT,322785,10.9,0,All Races,2013,09,0
1049,Delaware,DE,82347,10.9,0,All Races,2013,10,0
1053,District of Columbia,DC,40687,7.5,0,All Races,2013,11,0
1057,Florida,FL,3778848,24.3,0,All Races,2013,12,0
1061,Georgia,GA,1810621,21.2,0,All Races,2013,13,0
